Image,Title,Price,Rating,Delivery,Link
https://m.media-amazon.com/images/I/61U4tuttpdL._AC_UY218_.jpg,"TCL 1.5 Ton 3 Star AI Ultra-Inverter Split AC (Copper, Vitamin C Filter, 2021 Model, TAC-18CSD/EV3S, White)  ","31,790",4.3,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05953471QDTLKUOJ6FLR&url=%2FTCL-Ultra-Inverter-Vitamin-TAC-18CSD-EV3S%2Fdp%2FB08R587KHL%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3DLg%2BInverter%2BAc%26qid%3D1629627236%26sr%3D8-12-spons%26psc%3D1&qualifier=1629627236&id=5435993122292901&widgetName=sp_mtf
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.5 Ton 4 Star Inverter Split AC (Copper, Super Convertible 5-in-1 Cooling, HD Filter with Anti-Virus Protection, 2021 Model, MS-Q18HNYA1, White)  ","38,490",4.3,"Tuesday, August 24",https://www.amazon.in//LG-Convertible-Anti-Virus-Protection-MS-Q18HNYA1/dp/B08R93PZK5/ref=sr_1_13?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627236&sr=8-13
https://m.media-amazon.com/images/I/61oBNxWvthL._AC_UY218_.jpg,"LG 1.5 Ton 3 Star Inverter Split AC (Copper, LS-Q18JNXA, White, 4-in-1 Convertible Cooling, 2020 Model)  ","34,300",4.1,"Wed, 1 Sep, 8:00 am - 5:00 pm",https://www.amazon.in//LG-Inverter-LS-Q18JNXA-Convertible-Cooling/dp/B0845F1V5H/ref=sr_1_14?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627236&sr=8-14
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.5 Ton 3 Star Inverter Split AC (Copper, Convertible 4-in-1 Cooling, HD Filter, 2021 Model, LS-Q18PNXA1, White)  ","35,490",4.2,"Tuesday, August 24",https://www.amazon.in//LG-Inverter-Convertible-Cooling-LS-Q18PNXA1/dp/B08V4YFFQ2/ref=sr_1_15?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627236&sr=8-15
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.5 Ton 5 Star with UV Nano Inverter Split AC (Copper, Convertible 5-in-1 Cooling, HD Filter with Anti Virus protection, 2021 Model, MS-Q18UVZA, White)  ","42,990",4.2,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Inverter-Convertible-protection-MS-Q18UVZA/dp/B08R92WM34/ref=sr_1_16?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627236&sr=8-16
https://m.media-amazon.com/images/I/71WuTUFvmUL._AC_UY218_.jpg,"LG 2.0 Ton 5 Star Wi-Fi Inverter Window AC (Copper, Air filter, 2020 Model, JW-Q24WUZA, White)  ","45,890",4.4,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Inverter-Window-JW-Q24WUZA-Control/dp/B082TGHR94/ref=sr_1_17?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627236&sr=8-17
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 2.0 Ton 3 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling, HD Filter, 2021 Model, MS-Q24HNXA, White)  ","51,990",4.2,"Tuesday, August 24",https://www.amazon.in//LG-Inverter-Convertible-Cooling-MS-Q24HNXA/dp/B08R931HKP/ref=sr_1_18?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627236&sr=8-18
https://m.media-amazon.com/images/I/51lyOjfKhML._AC_UY218_.jpg,"LG 1.0 Ton 3 Star with UV Nano Inverter Split AC (Copper, Convertible 5-in-1, HD Filter with Anti Virus protection, 2021 Model, MS-Q12UVXA, White)  ","33,490",4.3,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//LG-Inverter-Convertible-protection-MS-Q12UVXA/dp/B08R91G11C/ref=sr_1_19?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627236&sr=8-19
https://m.media-amazon.com/images/I/51+ZOn7EQCL._AC_UY218_.jpg,"Blue Star 0.8 Tons 3 Star Inverter Split AC(Copper, 2020 Model, IC309RBTU, White)  ","29,890",4.3,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//Blue-Star-Inverter-Copper-IC309RBTU/dp/B08L6QX5WC/ref=sr_1_20?dchild=1&keywords=Lg+Inverter+Ac&qid=1629627236&sr=8-20
https://m.media-amazon.com/images/I/51+ZOn7EQCL._AC_UY218_.jpg,"Blue Star 0.8 Tons 3 Star Inverter Split AC(Copper, 2020 Model, IC309RBTU, White)  ","29,890",4.3,"Tue, 24 Aug, 7:00 am - 9:00 pm",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09318461KZSLBPU3P66W&url=%2FBlue-Star-Inverter-Copper-IC309RBTU%2Fdp%2FB08L6QX5WC%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DLg%2BInverter%2BAc%26qid%3D1629627236%26sr%3D8-21-spons%26psc%3D1&qualifier=1629627236&id=5435993122292901&widgetName=sp_btf
